segment_id,road_name,road_type,length_m,start_lat,start_lon,end_lat,end_lon,condition_score,condition_class
SEG_001,NH_CORRIDOR_A,HIGHWAY,126.7,9.965,76.3,9.964035153409531,76.29938469721947,84.6,GOOD
SEG_002,NH_CORRIDOR_A,HIGHWAY,151.2,9.964035153409531,76.29938469721947,9.9629543715799,76.29854614546684,76.6,GOOD
SEG_003,NH_CORRIDOR_A,HIGHWAY,177.7,9.9629543715799,76.29854614546684,9.961491510850992,76.297893270994,86.9,GOOD
SEG_004,NH_CORRIDOR_A,HIGHWAY,159.7,9.961491510850992,76.297893270994,9.960186094234794,76.29728579260916,74.7,MODERATE
SEG_005,NH_CORRIDOR_A,HIGHWAY,127.8,9.960186094234794,76.29728579260916,9.959140406120742,76.29680181555091,86.0,GOOD
SEG_006,NH_CORRIDOR_A,HIGHWAY,173.0,9.959140406120742,76.29680181555091,9.957801767564758,76.29599605279293,89.8,GOOD
SEG_007,NH_CORRIDOR_A,HIGHWAY,163.2,9.957801767564758,76.29599605279293,9.95654563983361,76.29522598678773,73.0,MODERATE
SEG_008,NH_CORRIDOR_A,HIGHWAY,106.6,9.95654563983361,76.29522598678773,9.955754683114506,76.2946761941472,84.1,GOOD
SEG_009,NH_CORRIDOR_A,HIGHWAY,91.1,9.955754683114506,76.2946761941472,9.955100454439965,76.29417606075378,72.2,MODERATE
SEG_010,NH_CORRIDOR_A,HIGHWAY,145.0,9.955100454439965,76.29417606075378,9.954148679189391,76.29327093368897,86.7,GOOD
SEG_011,NH_CORRIDOR_A,HIGHWAY,118.7,9.954148679189391,76.29327093368897,9.95335343265769,76.29254819564812,71.9,MODERATE
SEG_012,NH_CORRIDOR_A,HIGHWAY,169.8,9.95335343265769,76.29254819564812,9.952379600615435,76.29135343767678,91.5,GOOD
SEG_013,NH_CORRIDOR_A,HIGHWAY,103.5,9.952379600615435,76.29135343767678,9.951749533919369,76.29065795831423,73.2,MODERATE
SEG_014,NH_CORRIDOR_A,HIGHWAY,89.2,9.951749533919369,76.29065795831423,9.951246207618244,76.29002422650149,92.1,GOOD
SEG_015,NH_CORRIDOR_A,HIGHWAY,149.9,9.951246207618244,76.29002422650149,9.950454028104659,76.28891691330375,88.4,GOOD
SEG_016,NH_CORRIDOR_A,HIGHWAY,176.9,9.950454028104659,76.28891691330375,9.949883840020362,76.28740889113908,83.7,GOOD
SEG_017,NH_CORRIDOR_A,HIGHWAY,120.2,9.949883840020362,76.28740889113908,9.949434105243908,76.28641095628461,88.0,GOOD
SEG_018,NH_CORRIDOR_A,HIGHWAY,103.0,9.949434105243908,76.28641095628461,9.949113126363091,76.28552878030928,88.3,GOOD
SEG_019,NH_CORRIDOR_A,HIGHWAY,130.2,9.949113126363091,76.28552878030928,9.948692157905532,76.28441955139544,91.8,GOOD
SEG_020,NH_CORRIDOR_A,HIGHWAY,148.6,9.948692157905532,76.28441955139544,9.948088572387185,76.28320869849858,75.8,GOOD
SEG_021,NH_CORRIDOR_A,HIGHWAY,164.1,9.948088572387185,76.28320869849858,9.94754430928609,76.28181595694059,83.6,GOOD
SEG_022,NH_CORRIDOR_A,HIGHWAY,114.7,9.94754430928609,76.28181595694059,9.947031172516226,76.28090773050292,72.2,MODERATE
SEG_023,NH_CORRIDOR_A,HIGHWAY,161.5,9.947031172516226,76.28090773050292,9.946208812276963,76.2796928221752,84.2,GOOD
SEG_024,NH_CORRIDOR_A,HIGHWAY,112.4,9.946208812276963,76.2796928221752,9.945648280496005,76.27883889653867,73.9,MODERATE
SEG_025,NH_CORRIDOR_A,HIGHWAY,98.3,9.945648280496005,76.27883889653867,9.945239071890624,76.27804356167576,83.0,GOOD
SEG_026,NH_CORRIDOR_A,HIGHWAY,85.7,9.945239071890624,76.27804356167576,9.94494005631334,76.27732238089084,83.2,GOOD
SEG_027,NH_CORRIDOR_A,HIGHWAY,148.2,9.94494005631334,76.27732238089084,9.944466796504642,76.2760578174242,80.7,GOOD
SEG_028,NH_CORRIDOR_A,HIGHWAY,159.2,9.944466796504642,76.2760578174242,9.943729447930572,76.27481217771674,82.0,GOOD
SEG_029,NH_CORRIDOR_A,HIGHWAY,139.0,9.943729447930572,76.27481217771674,9.943024902916953,76.2737634961104,87.6,GOOD
SEG_030,NH_CORRIDOR_A,HIGHWAY,95.9,9.943024902916953,76.2737634961104,9.9425153573214,76.27305727606927,88.4,GOOD
SEG_031,NH_CORRIDOR_A,HIGHWAY,129.8,9.9425153573214,76.27305727606927,9.941730253983025,76.27218081521482,81.3,GOOD
SEG_032,NH_CORRIDOR_A,HIGHWAY,157.7,9.941730253983025,76.27218081521482,9.940582131499726,76.27133593321764,83.8,GOOD
SEG_033,NH_CORRIDOR_A,HIGHWAY,137.6,9.940582131499726,76.27133593321764,9.939594895257533,76.27057859794047,91.4,GOOD
SEG_034,NH_CORRIDOR_A,HIGHWAY,113.9,9.939594895257533,76.27057859794047,9.938834479583704,76.26988217280154,72.8,MODERATE
SEG_035,NH_CORRIDOR_A,HIGHWAY,126.5,9.938834479583704,76.26988217280154,9.937958153255066,76.26914583804046,72.7,MODERATE
SEG_036,NH_CORRIDOR_A,HIGHWAY,123.8,9.937958153255066,76.26914583804046,9.937179367735261,76.26833793479841,72.0,MODERATE
SEG_037,NH_CORRIDOR_A,HIGHWAY,107.2,9.937179367735261,76.26833793479841,9.936406108719073,76.26775302909641,85.1,GOOD
SEG_038,NH_CORRIDOR_A,HIGHWAY,112.9,9.936406108719073,76.26775302909641,9.936147664399606,76.26675626688666,79.6,GOOD
SEG_039,NH_CORRIDOR_A,HIGHWAY,137.9,9.936147664399606,76.26675626688666,9.93593411394338,76.26551585717641,87.8,GOOD
SEG_040,NH_CORRIDOR_A,HIGHWAY,148.1,9.93593411394338,76.26551585717641,9.935730238268874,76.26417952631073,85.4,GOOD
SEG_041,NH_CORRIDOR_A,HIGHWAY,162.3,9.935730238268874,76.26417952631073,9.935452433333712,76.26272449381486,77.7,GOOD
SEG_042,NH_CORRIDOR_A,HIGHWAY,87.2,9.935452433333712,76.26272449381486,9.935241603632873,76.26195805827035,90.7,GOOD
SEG_043,NH_CORRIDOR_A,HIGHWAY,153.6,9.935241603632873,76.26195805827035,9.934808361041453,76.26062619759057,87.5,GOOD
SEG_044,NH_CORRIDOR_A,HIGHWAY,100.3,9.934808361041453,76.26062619759057,9.93457688196739,76.2597409167937,76.2,GOOD
SEG_045,NH_CORRIDOR_A,HIGHWAY,99.5,9.93457688196739,76.2597409167937,9.934348686922911,76.25886279309941,78.4,GOOD
SEG_046,URBAN_CONNECTOR_B,URBAN,127.4,9.934348686922911,76.25886279309941,9.9341172849688,76.25772372906579,69.2,MODERATE
SEG_047,URBAN_CONNECTOR_B,URBAN,113.6,9.9341172849688,76.25772372906579,9.933898816355317,76.2567101335161,65.6,MODERATE
SEG_048,URBAN_CONNECTOR_B,URBAN,119.4,9.933898816355317,76.2567101335161,9.933659132162793,76.25564776489136,65.4,MODERATE
SEG_049,URBAN_CONNECTOR_B,URBAN,96.2,9.933659132162793,76.25564776489136,9.93332062894006,76.25483936714045,83.5,GOOD
SEG_050,URBAN_CONNECTOR_B,URBAN,171.3,9.93332062894006,76.25483936714045,9.93255002560643,76.25348495559842,72.1,MODERATE
SEG_051,URBAN_CONNECTOR_B,URBAN,110.3,9.93255002560643,76.25348495559842,9.931962309108096,76.25267417889017,62.3,MODERATE
SEG_052,URBAN_CONNECTOR_B,URBAN,159.0,9.931962309108096,76.25267417889017,9.931307547341762,76.25138382580747,55.4,MODERATE
SEG_053,URBAN_CONNECTOR_B,URBAN,127.7,9.931307547341762,76.25138382580747,9.93087565305946,76.25030361578274,58.9,MODERATE
SEG_054,URBAN_CONNECTOR_B,URBAN,94.2,9.93087565305946,76.25030361578274,9.930537587544803,76.24951544299552,51.3,POOR
