event_id,bus_id,pass_id,segment_id,timestamp_start,timestamp_peak,timestamp_end,latitude,longitude,event_type,severity,ground_truth,detection_probability
E_00001,BUS_001,PASS_01_001_01,SEG_024,2026-09-18T06:30:04,2026-09-18T06:30:04.500000,2026-09-18T06:30:05,9.94593597575402,76.27923114237602,SPEED_BREAKER,5,1,0.955
E_00002,BUS_001,PASS_01_001_01,SEG_028,2026-09-18T06:30:06.200000,2026-09-18T06:30:06.700000,2026-09-18T06:30:07.200000,9.94407258221162,76.27530988662099,SPEED_BREAKER,2,1,0.777
E_00003,BUS_001,PASS_01_001_01,SEG_029,2026-09-18T06:30:04.500000,2026-09-18T06:30:05,2026-09-18T06:30:05.500000,9.943406114891307,76.2742012698064,SPEED_BREAKER,3,1,0.845
E_00004,BUS_001,PASS_01_001_01,SEG_033,2026-09-18T06:30:05.200000,2026-09-18T06:30:05.700000,2026-09-18T06:30:06.200000,9.939984800610537,76.27091924344691,SPEED_BREAKER,1,1,0.68
E_00005,BUS_001,PASS_01_001_01,SEG_035,2026-09-18T06:30:03.300000,2026-09-18T06:30:03.800000,2026-09-18T06:30:04.300000,9.93845565028039,76.26956498689773,SPEED_BREAKER,2,1,0.791
E_00006,BUS_001,PASS_01_001_01,SEG_036,2026-09-18T06:30:03.600000,2026-09-18T06:30:04.100000,2026-09-18T06:30:04.600000,9.937456978335932,76.2686981872861,POTHOLE,2,1,0.795
E_00007,BUS_001,PASS_01_001_01,SEG_037,2026-09-18T06:30:04.300000,2026-09-18T06:30:04.800000,2026-09-18T06:30:05.300000,9.93671824685634,76.26799906825349,POTHOLE,1,1,0.722
E_00008,BUS_001,PASS_01_001_01,SEG_038,2026-09-18T06:30:03.900000,2026-09-18T06:30:04.400000,2026-09-18T06:30:04.900000,9.936195914777167,76.26714700868412,POTHOLE,3,1,0.858
E_00009,BUS_001,PASS_01_001_01,SEG_039,2026-09-18T06:30:05.400000,2026-09-18T06:30:05.900000,2026-09-18T06:30:06.400000,9.936014998755974,76.266067562475,POTHOLE,5,1,0.95
E_00010,BUS_001,PASS_01_001_01,SEG_042,2026-09-18T06:30:03.100000,2026-09-18T06:30:03.600000,2026-09-18T06:30:04.100000,9.93524276800269,76.26223934453377,POTHOLE,4,1,0.861
E_00011,BUS_001,PASS_01_001_01,SEG_043,2026-09-18T06:30:05.400000,2026-09-18T06:30:05.900000,2026-09-18T06:30:06.400000,9.934936001051229,76.26121446207627,POTHOLE,5,1,0.921
E_00012,BUS_001,PASS_01_001_01,SEG_046,2026-09-18T06:30:07.900000,2026-09-18T06:30:08.400000,2026-09-18T06:30:08.900000,9.934177187903053,76.2581405445541,POTHOLE,1,1,0.722
E_00013,BUS_001,PASS_01_001_01,SEG_048,2026-09-18T06:30:05.300000,2026-09-18T06:30:08,2026-09-18T06:30:10.700000,9.933722858524774,76.2559421539632,ROUGHNESS,3,1,0.797
E_00014,BUS_001,PASS_01_001_01,SEG_049,2026-09-18T06:30:04,2026-09-18T06:30:06.200000,2026-09-18T06:30:08.400000,9.9334836512745,76.25516179439867,ROUGHNESS,4,1,0.939
E_00015,BUS_001,PASS_01_001_01,SEG_050,2026-09-18T06:30:06.400000,2026-09-18T06:30:10.300000,2026-09-18T06:30:14.200000,9.932927016982239,76.25404282849878,ROUGHNESS,4,1,0.925
